,county,fips,Neighbors,Neighbor Code
2720,"St. Bernard Parish, LA",22087,"Orleans Parish, LA, Plaquemines Parish, LA, St. Bernard Parish, LA, St. Tammany Parish, LA, Hancock County, MS, Harrison County, MS","22071, 22075, 22087, 22103, 28045, 28047"
2721,"St. Charles County, MO",29183,"Calhoun County, IL, Jersey County, IL, Madison County, IL, Franklin County, MO, Lincoln County, MO, St. Charles County, MO, St. Louis County, MO, Warren County, MO","17013, 17083, 17119, 29071, 29113, 29183, 29189, 29219"
2722,"St. Charles Parish, LA",22089,"Jefferson Parish, LA, Lafourche Parish, LA, St. Charles Parish, LA, St. John the Baptist Parish, LA, Tangipahoa Parish, LA","22051, 22057, 22089, 22095, 22105"
2723,"St. Clair County, AL",01115,"Blount County, AL, Calhoun County, AL, Etowah County, AL, Jefferson County, AL, St. Clair County, AL, Shelby County, AL, Talladega County, AL","01009, 01015, 01055, 01073, 01115, 01117, 01121"
2724,"St. Clair County, IL",17163,"Clinton County, IL, Madison County, IL, Monroe County, IL, Randolph County, IL, St. Clair County, IL, Washington County, IL, St. Louis County, MO, St. Louis city, MO","17027, 17119, 17133, 17157, 17163, 17189, 29189, 29510"
2725,"St. Clair County, MI",26147,"Lapeer County, MI, Macomb County, MI, St. Clair County, MI, Sanilac County, MI","26087, 26099, 26147, 26151"
2726,"St. Clair County, MO",29185,"Bates County, MO, Benton County, MO, Cedar County, MO, Henry County, MO, Hickory County, MO, Polk County, MO, St. Clair County, MO, Vernon County, MO","29013, 29015, 29039, 29083, 29085, 29167, 29185, 29217"
2727,"St. Croix County, WI",55109,"Washington County, MN, Barron County, WI, Dunn County, WI, Pierce County, WI, Polk County, WI, St. Croix County, WI","27163, 55005, 55033, 55093, 55095, 55109"
2728,"St. Croix Island, VI",78010,"St. Croix Island, VI",78010
2729,"St. Francis County, AR",05123,"Crittenden County, AR, Cross County, AR, Lee County, AR, Monroe County, AR, St. Francis County, AR, Woodruff County, AR","05035, 05037, 05077, 05095, 05123, 05147"
2730,"St. Francois County, MO",29187,"Iron County, MO, Jefferson County, MO, Madison County, MO, Perry County, MO, Ste. Genevieve County, MO, St. Francois County, MO, Washington County, MO","29093, 29099, 29123, 29157, 29186, 29187, 29221"
2731,"St. Helena Parish, LA",22091,"East Baton Rouge Parish, LA, East Feliciana Parish, LA, Livingston Parish, LA, St. Helena Parish, LA, Tangipahoa Parish, LA, Amite County, MS","22033, 22037, 22063, 22091, 22105, 28005"
2732,"St. James Parish, LA",22093,"Ascension Parish, LA, Assumption Parish, LA, Lafourche Parish, LA, St. James Parish, LA, St. John the Baptist Parish, LA","22005, 22007, 22057, 22093, 22095"
2733,"St. John Island, VI",78020,"St. John Island, VI, St. Thomas Island, VI","78020, 78030"
2734,"St. John the Baptist Parish, LA",22095,"Ascension Parish, LA, Jefferson Parish, LA, Lafourche Parish, LA, Livingston Parish, LA, St. Charles Parish, LA, St. James Parish, LA, St. John the Baptist Parish, LA, Tangipahoa Parish, LA","22005, 22051, 22057, 22063, 22089, 22093, 22095, 22105"
2735,"St. Johns County, FL",12109,"Clay County, FL, Duval County, FL, Flagler County, FL, Putnam County, FL, St. Johns County, FL","12019, 12031, 12035, 12107, 12109"
2736,"St. Joseph County, IN",18141,"Elkhart County, IN, LaPorte County, IN, Marshall County, IN, St. Joseph County, IN, Starke County, IN, Berrien County, MI, Cass County, MI","18039, 18091, 18099, 18141, 18149, 26021, 26027"
2737,"St. Joseph County, MI",26149,"Elkhart County, IN, LaGrange County, IN, Branch County, MI, Calhoun County, MI, Cass County, MI, Kalamazoo County, MI, St. Joseph County, MI, Van Buren County, MI","18039, 18087, 26023, 26025, 26027, 26077, 26149, 26159"
2738,"St. Landry Parish, LA",22097,"Acadia Parish, LA, Avoyelles Parish, LA, Evangeline Parish, LA, Lafayette Parish, LA, Pointe Coupee Parish, LA, St. Landry Parish, LA, St. Martin Parish, LA","22001, 22009, 22039, 22055, 22077, 22097, 22099"
2739,"St. Lawrence County, NY",36089,"Franklin County, NY, Hamilton County, NY, Herkimer County, NY, Jefferson County, NY, Lewis County, NY, St. Lawrence County, NY","36033, 36041, 36043, 36045, 36049, 36089"
2740,"St. Louis County, MN",27137,"Aitkin County, MN, Carlton County, MN, Itasca County, MN, Koochiching County, MN, Lake County, MN, St. Louis County, MN, Douglas County, WI","27001, 27017, 27061, 27071, 27075, 27137, 55031"
2741,"St. Louis County, MO",29189,"Madison County, IL, Monroe County, IL, St. Clair County, IL, Franklin County, MO, Jefferson County, MO, St. Charles County, MO, St. Louis County, MO, St. Louis city, MO","17119, 17133, 17163, 29071, 29099, 29183, 29189, 29510"
2742,"St. Louis city, MO",29510,"Madison County, IL, St. Clair County, IL, St. Louis County, MO, St. Louis city, MO","17119, 17163, 29189, 29510"
2743,"St. Lucie County, FL",12111,"Indian River County, FL, Martin County, FL, Okeechobee County, FL, St. Lucie County, FL","12061, 12085, 12093, 12111"
2744,"St. Martin Parish, LA",22099,"Assumption Parish, LA, Iberia Parish, LA, Iberville Parish, LA, Lafayette Parish, LA, Pointe Coupee Parish, LA, St. Landry Parish, LA, St. Martin Parish, LA, St. Mary Parish, LA","22007, 22045, 22047, 22055, 22077, 22097, 22099, 22101"
2745,"St. Mary Parish, LA",22101,"Assumption Parish, LA, Iberia Parish, LA, St. Martin Parish, LA, St. Mary Parish, LA, Terrebonne Parish, LA","22007, 22045, 22099, 22101, 22109"
2746,"St. Mary's County, MD",24037,"Calvert County, MD, Charles County, MD, Dorchester County, MD, St. Mary's County, MD, Somerset County, MD, Northumberland County, VA, Westmoreland County, VA","24009, 24017, 24019, 24037, 24039, 51133, 51193"
2747,"St. Tammany Parish, LA",22103,"Jefferson Parish, LA, Orleans Parish, LA, St. Bernard Parish, LA, St. Tammany Parish, LA, Tangipahoa Parish, LA, Washington Parish, LA, Hancock County, MS, Pearl River County, MS","22051, 22071, 22087, 22103, 22105, 22117, 28045, 28109"
2748,"St. Thomas Island, VI",78030,"St. John Island, VI, St. Thomas Island, VI","78020, 78030"
2749,"Stafford County, KS",20185,"Barton County, KS, Edwards County, KS, Pawnee County, KS, Pratt County, KS, Reno County, KS, Rice County, KS, Stafford County, KS","20009, 20047, 20145, 20151, 20155, 20159, 20185"
2750,"Stafford County, VA",51179,"Charles County, MD, Caroline County, VA, Culpeper County, VA, Fauquier County, VA, King George County, VA, Prince William County, VA, Spotsylvania County, VA, Stafford County, VA, Fredericksburg city, VA","24017, 51033, 51047, 51061, 51099, 51153, 51177, 51179, 51630"
2751,"Stanislaus County, CA",06099,"Alameda County, CA, Calaveras County, CA, Mariposa County, CA, Merced County, CA, San Joaquin County, CA, Santa Clara County, CA, Stanislaus County, CA, Tuolumne County, CA","06001, 06009, 06043, 06047, 06077, 06085, 06099, 06109"
2752,"Stanley County, SD",46117,"Dewey County, SD, Haakon County, SD, Hughes County, SD, Jones County, SD, Lyman County, SD, Stanley County, SD, Sully County, SD, Ziebach County, SD","46041, 46055, 46065, 46075, 46085, 46117, 46119, 46137"
2753,"Stanly County, NC",37167,"Anson County, NC, Cabarrus County, NC, Davidson County, NC, Montgomery County, NC, Richmond County, NC, Rowan County, NC, Stanly County, NC, Union County, NC","37007, 37025, 37057, 37123, 37153, 37159, 37167, 37179"
2754,"Stanton County, KS",20187,"Baca County, CO, Prowers County, CO, Grant County, KS, Hamilton County, KS, Kearny County, KS, Morton County, KS, Stanton County, KS, Stevens County, KS","08009, 08099, 20067, 20075, 20093, 20129, 20187, 20189"
2755,"Stanton County, NE",31167,"Colfax County, NE, Cuming County, NE, Madison County, NE, Pierce County, NE, Platte County, NE, Stanton County, NE, Wayne County, NE","31037, 31039, 31119, 31139, 31141, 31167, 31179"
2756,"Stark County, IL",17175,"Bureau County, IL, Henry County, IL, Knox County, IL, Marshall County, IL, Peoria County, IL, Stark County, IL","17011, 17073, 17095, 17123, 17143, 17175"
2757,"Stark County, ND",38089,"Billings County, ND, Dunn County, ND, Grant County, ND, Hettinger County, ND, Mercer County, ND, Morton County, ND, Slope County, ND, Stark County, ND","38007, 38025, 38037, 38041, 38057, 38059, 38087, 38089"
2758,"Stark County, OH",39151,"Carroll County, OH, Columbiana County, OH, Holmes County, OH, Mahoning County, OH, Portage County, OH, Stark County, OH, Summit County, OH, Tuscarawas County, OH, Wayne County, OH","39019, 39029, 39075, 39099, 39133, 39151, 39153, 39157, 39169"
2759,"Starke County, IN",18149,"Fulton County, IN, Jasper County, IN, LaPorte County, IN, Marshall County, IN, Porter County, IN, Pulaski County, IN, St. Joseph County, IN, Starke County, IN","18049, 18073, 18091, 18099, 18127, 18131, 18141, 18149"
2760,"Starr County, TX",48427,"Brooks County, TX, Hidalgo County, TX, Jim Hogg County, TX, Starr County, TX, Zapata County, TX","48047, 48215, 48247, 48427, 48505"
2761,"Staunton city, VA",51790,"Augusta County, VA, Staunton city, VA","51015, 51790"
2762,"Ste. Genevieve County, MO",29186,"Monroe County, IL, Randolph County, IL, Jefferson County, MO, Perry County, MO, Ste. Genevieve County, MO, St. Francois County, MO","17133, 17157, 29099, 29157, 29186, 29187"
2763,"Stearns County, MN",27145,"Benton County, MN, Douglas County, MN, Kandiyohi County, MN, Meeker County, MN, Morrison County, MN, Pope County, MN, Sherburne County, MN, Stearns County, MN, Todd County, MN, Wright County, MN","27009, 27041, 27067, 27093, 27097, 27121, 27141, 27145, 27153, 27171"
2764,"Steele County, MN",27147,"Dodge County, MN, Freeborn County, MN, Mower County, MN, Rice County, MN, Steele County, MN, Waseca County, MN","27039, 27047, 27099, 27131, 27147, 27161"
2765,"Steele County, ND",38091,"Barnes County, ND, Cass County, ND, Grand Forks County, ND, Griggs County, ND, Nelson County, ND, Steele County, ND, Traill County, ND","38003, 38017, 38035, 38039, 38063, 38091, 38097"
2766,"Stephens County, GA",13257,"Banks County, GA, Franklin County, GA, Habersham County, GA, Stephens County, GA, Oconee County, SC","13011, 13119, 13137, 13257, 45073"
2767,"Stephens County, OK",40137,"Carter County, OK, Comanche County, OK, Cotton County, OK, Garvin County, OK, Grady County, OK, Jefferson County, OK, Stephens County, OK","40019, 40031, 40033, 40049, 40051, 40067, 40137"
2768,"Stephens County, TX",48429,"Eastland County, TX, Palo Pinto County, TX, Shackelford County, TX, Stephens County, TX, Throckmorton County, TX, Young County, TX","48133, 48363, 48417, 48429, 48447, 48503"
2769,"Stephenson County, IL",17177,"Carroll County, IL, Jo Daviess County, IL, Ogle County, IL, Stephenson County, IL, Winnebago County, IL, Green County, WI, Lafayette County, WI","17015, 17085, 17141, 17177, 17201, 55045, 55065"
2770,"Sterling County, TX",48431,"Coke County, TX, Glasscock County, TX, Howard County, TX, Mitchell County, TX, Reagan County, TX, Sterling County, TX, Tom Green County, TX","48081, 48173, 48227, 48335, 48383, 48431, 48451"
2771,"Steuben County, IN",18151,"DeKalb County, IN, LaGrange County, IN, Noble County, IN, Steuben County, IN, Branch County, MI, Hillsdale County, MI, Williams County, OH","18033, 18087, 18113, 18151, 26023, 26059, 39171"
2772,"Steuben County, NY",36101,"Allegany County, NY, Chemung County, NY, Livingston County, NY, Ontario County, NY, Schuyler County, NY, Steuben County, NY, Yates County, NY, Potter County, PA, Tioga County, PA","36003, 36015, 36051, 36069, 36097, 36101, 36123, 42105, 42117"
2773,"Stevens County, KS",20189,"Grant County, KS, Haskell County, KS, Morton County, KS, Seward County, KS, Stanton County, KS, Stevens County, KS, Texas County, OK","20067, 20081, 20129, 20175, 20187, 20189, 40139"
